#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
152061.99986800418,-321011.0898990114,58547.28592698742,-262463.803972024,301.8138939521936,236.3885961582638,0.9920437655181485,317
152062.99986800802,-321361.90809183917,59031.89462967927,-262330.0134621599,304.31207362503017,236.77109288844545,0.9904411480200463,317
152063.99986801186,-320788.25558222877,58125.79878049996,-262662.4568017288,299.6411087424604,237.08362767376693,0.9891355019296467,317
152064.9998680157,-320329.1165271364,58239.89509329223,-262089.22143384418,300.22928036996103,236.60291545066812,0.991145153945865,317
152065.99986801954,-320713.9744541077,58077.55274592538,-262636.4217081823,299.39239826285143,236.08102427345318,0.993336223358477,317
152066.99986802338,-320626.478519497,57658.22130770085,-262968.2572117961,297.23072582623416,235.79697480030907,0.9945328317167433,317
152067.99986802723,-321081.7522165782,58543.80287187733,-262537.9493447009,301.7959386463416,236.01073355325192,0.9936320671851143,317
152068.99986803107,-320714.2333156138,58039.87879754719,-262674.3545180666,299.1981873633957,236.86767052753706,0.9900373171911202,317
152069.9998680349,-320650.6687108483,58112.47067886463,-262538.1980319837,299.57240177868135,236.76922825230358,0.9904489480723362,317
152070.99986803875,-321402.1540163667,58109.46871238202,-263292.6853039847,299.556926506356,236.2680423723793,0.9925499475243795,317
152071.9998680426,-322150.2480685329,57791.871497137356,-264358.37657139555,297.9196985678841,236.64561269406187,0.9909663246601884,317
152072.99986804643,-321188.481683973,57420.80483379681,-263767.6768501762,296.0068332180142,235.90531949574694,0.9940760706865741,317
152073.99986805028,-321741.8893030961,57733.04704669374,-264008.84225640236,297.61645587837455,236.1613817896638,0.9929982255407721,317
152074.99986805412,-321763.3617482025,58154.31308388105,-263609.0486643214,299.7881012597141,235.96982201653663,0.9938043392767352,317
152075.99986805796,-321699.6588390339,57718.21457972471,-263981.4442593092,297.53999384359423,235.02793480661498,0.9977870641264411,317
152076.9998680618,-322299.07506128936,58152.66543464293,-264146.40962664643,299.7796075537369,235.91083189293883,0.9940528426639497,317
152077.99986806564,-321117.109468902,58062.99648583983,-263054.11298306216,299.3173600869866,234.82038583474602,0.9986689708593995,317
152078.99986806948,-321936.7823385112,58289.44060064899,-263647.3417378622,300.48468969024674,234.48874820498594,1.0000813892075977,317
152079.99986807333,-321104.71495937905,58361.733400583034,-262742.981558796,300.85736232754044,236.2136864332808,0.9927783465867477,317
152080.99986807717,-320142.31641809223,57731.67121295619,-262410.64520513604,297.6093633935362,235.00067371425519,0.9979028117320997,317
152081.999868081,-321600.11665797373,58128.28812742513,-263471.8285305486,299.65394143789604,236.07802097250058,0.9933488602300232,317
152082.99986808485,-320382.68058833596,57798.49820610644,-262584.18238222954,297.95385955086357,236.63552360515052,0.9910085750679268,317
152083.9998680887,-321015.88247435517,57651.96813149471,-263363.91434286046,297.198490421459,237.03928798381992,0.9893205259475816,317
152084.99986809253,-320145.40380283515,57585.752531858205,-262559.65127097693,296.85714602521153,237.03553436770693,0.989336192499337,317
152085.99986809638,-321327.1044251581,58108.0422693998,-263219.0621557583,299.54957312858363,236.10198000741806,0.9932480576868732,317
152086.99986810022,-321363.4066878776,58261.76971548458,-263101.636972393,300.34204503185913,236.59587362711528,0.9911746534852373,317
152087.99986810406,-320849.68689125334,57776.23673061235,-263073.450160641,297.83910064278416,236.08758193459065,0.9933086320625059,317
152088.9998681079,-321138.02908388246,57972.65882884286,-263165.3702550396,298.8516653994006,235.63589448429767,0.9952126927505103,317
152089.99986811174,-321216.19520106586,57624.027247485705,-263592.16795358015,297.05445390687584,235.368174364634,0.9963446999214595,317
152090.99986811558,-321283.5520689485,58330.54087775317,-262953.01119119534,300.69656346849143,234.9166961426206,0.9982595401223444,317
152091.99986811943,-321097.6544139362,58733.38848602935,-262364.26592790685,302.77326101984823,236.3773047358736,0.9920911540997155,317
152092.99986812327,-320590.5719558117,58081.21825657226,-262509.35369923944,299.4112941352073,237.02794020465353,0.9893678899454441,317
152093.9998681271,-320712.9245040838,58686.7515555931,-262026.1729484907,302.53284554449226,237.29615945525188,0.9882495932371601,317
152094.99986813095,-320479.5030478907,58171.41600222932,-262308.0870456614,299.87626757353905,236.46946100099797,0.9917045189078487,317
152095.9998681348,-320744.9468727873,57812.732625147444,-262932.2142476399,298.02723862165897,236.39175130650486,0.992030524594451,317
152096.99986813864,-321448.7541141433,58104.418744667084,-263344.33536947623,299.530893695505,235.03307790579498,0.9977652301025793,317
152097.99986814248,-321822.10994654405,58035.83066051628,-263786.27928602777,299.1773190348095,235.25288367214844,0.9968329798890211,317
152098.99986814632,-321324.73780488083,58524.579405403696,-262800.15839947714,301.6968408114923,234.64722336780488,0.9994059579848792,317
152099.99986815016,-321811.6648648337,58207.16665265313,-263604.49821218057,300.0605637854795,235.20003768934382,0.9970569535713039,317
152100.999868154,-320947.01642851136,58050.31274777418,-262896.7036807372,299.2519748464096,236.79597095287596,0.9903370911030477,317
152101.99986815784,-321616.7054679382,58165.40489637945,-263451.30057155876,299.8452800523452,236.062518518569,0.9934140944105291,317
152102.99986816169,-321165.39028634154,58012.14273224794,-263153.2475540936,299.0552066984795,236.22673774277698,0.992723496498285,317
152103.99986816553,-320365.7238690797,57832.19998215395,-262533.5238869258,298.1275937231818,236.93525198939093,0.9897549270924587,317
152104.99986816937,-319803.5404900622,57857.569191492745,-261945.97129856946,298.25837313909835,236.85762318285953,0.9900793139233165,317
152105.9998681732,-320536.1302928757,58415.43816087954,-262120.69213199615,301.13421278392315,238.36701938654122,0.9838098981223149,317
152106.99986817705,-320693.86542139156,59006.84535121126,-261687.0200701803,304.1829434671514,237.79264867047212,0.9861862188320584,317
152107.9998681809,-320433.77390191564,58610.06133898627,-261823.71256292937,302.1375040263387,236.90447836539,0.9898834951389118,317
152108.99986818474,-320608.2401842654,58334.012898818124,-262274.2272854473,300.7144618933442,236.5155101217489,0.9915114359209574,317
152109.99986818858,-320540.7256855804,58445.168684008764,-262095.55700157164,301.2874749687161,235.8845777039462,0.9941634817377456,317
152110.99986819242,-320842.47152240854,58200.94695780432,-262641.5245646042,300.0285009786082,236.45309021804283,0.9917731793741581,317
152111.99986819626,-320722.64412660385,58694.435334851674,-262028.20879175217,302.5724557723889,235.24695867765402,0.996858086398159,317
152112.9998682001,-319916.6293339622,58998.84957678162,-260917.7797571806,304.14172489010616,236.31608041020326,0.9923481832100823,317
152113.99986820394,-320427.7040382661,58334.49539960976,-262093.20863865633,300.7169492066407,236.85084953487615,0.9901076289948533,317
152114.9998682078,-320691.29475001735,58823.421572247986,-261867.87317776936,303.23738563136425,236.87884199817557,0.9899906259259708,317
152115.99986821163,-320141.57820481993,57960.350721529685,-262181.22748329025,298.7882165522584,237.97649632726186,0.9854243451668485,317
